,Translated Tweets
0,I want to join online classes but my body is still different huhuhu
1,gosh laban how to balance online classes and paperwork.
2,Who is not afraid of ftf and hosp duty if you are a result of online classes
3,lowkey missing online classes
4,I think I skipped 2 years of college because of online classes 🥺
5,"@itsETK My 5 year old granddaughter who is now in Kindergarten has online classes every Tuesdays and Wednesdays.

They are learning about vowels and consonants, numbers  1-100.

I taught her email etiquette and how to write proper emails from the subject to the salutation to the content"
6,"My son, who is now in Grade 5, has online classes every Wednesday. They are being taught email etiquette and how to write proper emails — from the subject to the salutation to the content (no slang; no texting language).

My heart skipped a beat. 🥹

Okay na, sulit na tuition. 🤣"
7,"At the beginning of the year 2023, budget cuts greeted the State Colleges and Universities despite the mandate of CHED (Memorandum Order No. 16) to no longer allow 100% online classes which is contrary and without recognition of material conditions and 3/n https://t.co/o0E0jnJZuJ"
8,"🤩 this is the last quiz, I will miss it every time during online classes"
9,Regardless — students will be prone to either scorching heat .. or too much rain .. why not do it on months or days with too much heat and rain — there should be an option to do online classes or modules.. if you can afford it
10,"@YlWElS aww, dude! I will look for you as a girl in the ChE dep't, HAHAHA we have a plenary session every online class."
11,i mean no f2f and online classes pero may reqs 🥹
12,"@thatwaterlilli We always talk behind your back. Especially at lunch. Reminiscing how grateful we are during our first year online classes. Because no one else saw it, we spread it. Hehe."
13,"@kaixcpa yes, you can attend f2f classes and online classes, the hybrid. 💙💛"
14,I need some caffeine to finish all my students progress reports + attending online classes! 😴 https://t.co/BDmlKzzwly
15,"Congratulations to FLOR D' MAY PATRIARCA from 2022 Online Class Batch 4 for passing her ASCPi exams!
.
Enroll in our ASCPi | AMT | DoH-AD Online Review Classes now and set yourself apart from the competition. Click the link below.
.
https://t.co/DO0OJH5C5b https://t.co/FooITowqMw"
16,"JUST IN: Work and classes in the Laguna campus, including asynchronous, online, and work from home arrangements, are suspended beginning 12 pm today due to possible aftershocks from the earthquake. https://t.co/ueFn2Ed5PQ"
17,@karezme It's not worth buying if it's only 1 event!!! FBit for future reference there are beginner make up classes that are now online
18,"Ms. Omar is happy and blessed☺️

Two Schools (colleges 🏢🏬) are offering me a Scholarship😍🤩😍 ONLINE CLASSES IN METRO MANILA🇵🇭, which one? that's made me smile like this while thinking☺️

Which one? Which one🫧?

Says Masha allah☺️ https://t.co/73bS9thRH9"
19,"My classmates invite me to wander. I said sure, when it's my rest day then they agreed since we have online classes. After a while, I asked them where. What I expect are Baguio, Tanay, Antipolo types. No, they want HONGKONG. 😭"
20,I couldn't handle having no place to sleep before. Going to school after work. Then I have a class at 9pm. Then go to work from 10 until 7am. Then there is a class at 7am hahahahah. Hahahaha. Maybe because it was only online classes before. 😭😭
21,"Mind’s not in a great state when practically everyone is on Face-to-Face classes and I’m still stuck in Online Class

Ngl, this school year of mine (‘19-‘23) is a horrible experience. Out of the four years of my college, I have spent a grand total of 8 months on campus"
22,online classes😠
23,"Survived online + face to face classes for my son who is in Grade 1. Full time work, full time mom, full time student and we made it! 💜"
